iter	Passed	Remaining
407	4529	6572
408	4547	6571
409	4559	6561
410	4574	6555
411	4591	6553
412	4601	6539
413	4610	6525
414	4618	6510
415	4625	6493
416	4633	6477
417	4641	6462
418	4649	6447
419	4657	6431
420	4665	6415
421	4672	6400
422	4680	6384
423	4688	6369
424	4696	6353
425	4703	6337
426	4711	6322
427	4718	6306
428	4726	6291
429	4734	6276
430	4745	6265
431	4757	6255
432	4770	6247
433	4783	6238
434	4799	6234
435	4810	6223
436	4820	6210
437	4831	6199
438	4840	6185
439	4850	6173
440	4861	6162
441	4869	6147
442	4886	6143
443	4897	6132
444	4904	6117
445	4924	6116
446	4956	6132
447	4968	6121
448	4981	6112
449	4995	6105
450	5004	6091
451	5012	6076
452	5020	6062
453	5028	6047
454	5036	6033
455	5047	6021
456	5055	6006
457	5063	5991
458	5070	5976
459	5078	5961
460	5086	5946
461	5093	5931
462	5101	5916
463	5109	5902
464	5117	5887
465	5124	5872
466	5133	5858
467	5146	5850
468	5155	5836
469	5168	5828
470	5180	5818
471	5193	5809
472	5206	5801
473	5218	5790
474	5231	5781
475	5243	5772
476	5255	5762
477	5263	5747
478	5275	5738
479	5286	5727
480	5295	5713
481	5304	5700
482	5313	5687
483	5322	5674
484	5332	5662
485	5340	5648
486	5348	5633
487	5368	5632
488	5383	5626
489	5391	5611
490	5398	5596
491	5408	5584
492	5418	5571
493	5426	5558
494	5435	5545
495	5445	5533
496	5458	5524
497	5469	5513
498	5478	5500
499	5489	5489
500	5499	5477
501	5507	5463
502	5519	5454
503	5528	5440
504	5535	5425
505	5543	5411
506	5550	5397
507	5557	5382
508	5565	5368
509	5573	5355
510	5586	5345
511	5598	5336
512	5611	5327
513	5625	5319
514	5633	5305
515	5646	5295
516	5654	5282
517	5664	5270
518	5674	5258
519	5681	5244
520	5691	5232
521	5699	5218
522	5707	5205
523	5719	5195
524	5740	5193
525	5747	5179
526	5755	5165
527	5762	5151
528	5774	5141
529	5786	5131
530	5801	5124
531	5809	5110
532	5818	5098
533	5826	5084
534	5838	5074
535	5846	5060
536	5857	5050
537	5865	5037
538	5873	5023
539	5882	5010
540	5889	4996
541	5896	4982
542	5903	4968
543	5911	4955
544	5919	4941
545	5928	4929
546	5935	4915
547	5942	4901
548	5949	4887
549	5957	4874
550	5964	4860
551	5977	4851
552	5989	4841
553	6003	4833
554	6013	4821
555	6022	4809
556	6030	4796
557	6038	4783
558	6046	4769
559	6053	4756
560	6060	4742
561	6068	4729
562	6075	4716
563	6083	4702
564	6090	4689
565	6098	4676
566	6106	4663
567	6114	4650
568	6122	4637
569	6130	4624
570	6138	4611
571	6145	4598
572	6153	4585
573	6160	4572
574	6168	4559
575	6180	4549
576	6192	4539
577	6205	4530
578	6218	4521
579	6226	4508
580	6233	4495
581	6241	4482
582	6248	4469
583	6256	4456
584	6263	4443
585	6271	4430
586	6278	4417
587	6286	4404
588	6293	4391
589	6300	4378
590	6308	4366
591	6316	4353
592	6323	4340
593	6331	4327
594	6338	4314
595	6346	4301
596	6353	4288
597	6361	4276
598	6368	4263
599	6376	4251
600	6389	4241
601	6403	4233
602	6418	4225
603	6427	4213
604	6435	4201
605	6443	4189
606	6451	4177
607	6459	4164
608	6466	4152
609	6474	4139
610	6481	4126
611	6489	4113
612	6496	4101
613	6504	4089
614	6511	4076
615	6519	4063
616	6526	4051
617	6534	4038
618	6541	4026
619	6548	4013
620	6556	4001
621	6563	3989
622	6573	3978
623	6585	3968
624	6596	3958
625	6610	3949
626	6622	3939
627	6629	3927
628	6637	3915
629	6645	3902
630	6652	3890
631	6659	3877
632	6667	3865
633	6674	3853
634	6682	3841
635	6689	3828
636	6697	3816
637	6705	3804
638	6713	3792
639	6721	3780
640	6729	3768
641	6736	3756
642	6743	3744
643	6751	3732
644	6758	3719
645	6765	3707
646	6775	3696
647	6784	3685
648	6800	3678
649	6813	3669
650	6825	3659
651	6834	3647
652	6842	3635
653	6850	3624
654	6857	3612
655	6865	3600
656	6872	3588
657	6880	3576
658	6888	3564
659	6896	3552
660	6903	3540
661	6911	3528
662	6918	3516
663	6926	3504
664	6934	3493
665	6941	3481
666	6949	3469
667	6956	3457
668	6963	3445
669	6977	3436
670	6989	3427
671	7004	3418
672	7011	3406
673	7019	3395
674	7027	3383
675	7035	3371
676	7042	3360
677	7050	3348
678	7057	3336
679	7065	3324
680	7072	3312
681	7079	3301
682	7086	3289
683	7093	3277
684	7100	3265
685	7108	3253
686	7115	3241
687	7122	3230
688	7129	3218
689	7137	3206
690	7144	3194
691	7151	3183
692	7159	3171
693	7166	3159
694	7179	3150
695	7190	3140
696	7206	3132
697	7215	3121
698	7222	3110
699	7230	3098
700	7237	3087
701	7245	3075
702	7252	3063
703	7259	3052
704	7266	3040
705	7274	3029
706	7281	3017
707	7289	3006
708	7296	2994
709	7303	2983
710	7311	2971
711	7318	2960
712	7325	2948
713	7332	2937
714	7340	2925
715	7347	2914
716	7354	2902
717	7362	2891
718	7369	2880
719	7379	2869
720	7391	2860
721	7403	2850
722	7417	2841
723	7424	2830
724	7433	2819
725	7440	2807
726	7447	2796
727	7454	2785
728	7461	2773
729	7469	2762
730	7476	2751
731	7483	2739
732	7490	2728
733	7497	2717
734	7504	2705
735	7512	2694
736	7519	2683
737	7526	2672
738	7533	2660
739	7540	2649
740	7547	2638
741	7554	2626
742	7562	2615
743	7575	2606
744	7586	2596
745	7597	2586
746	7612	2578
747	7619	2566
748	7627	2556
749	7635	2545
750	7642	2534
751	7650	2522
752	7657	2511
753	7664	2500
754	7671	2489
755	7678	2478
756	7686	2467
757	7693	2456
758	7700	2445
759	7707	2433
760	7714	2422
761	7721	2411
762	7728	2400
763	7735	2389
764	7742	2378
765	7753	2368
766	7760	2357
767	7767	2346
768	7777	2336
769	7788	2326
770	7800	2316
771	7812	2307
772	7916	2324
773	7928	2314
774	7935	2303
775	7942	2292
776	7949	2281
777	7956	2270
778	7963	2259
779	7980	2250
780	7991	2241
781	8004	2231
782	8013	2220
783	8020	2209
784	8028	2198
785	8035	2187
786	8043	2176
787	8050	2165
788	8057	2154
789	8064	2143
790	8072	2132
791	8079	2121
792	8086	2110
793	8093	2099
794	8100	2088
795	8107	2077
796	8115	2067
797	8122	2056
798	8129	2045
799	8136	2034
800	8144	2023
801	8151	2012
802	8158	2001
803	8165	1990
804	8173	1980
805	8186	1970
806	8198	1960
807	8211	1951
808	8219	1940
809	8227	1929
810	8235	1919
811	8242	1908
812	8249	1897
813	8256	1886
814	8264	1875
815	8271	1865
816	8278	1854
817	8285	1843
818	8292	1832
819	8299	1821
820	8307	1811
821	8314	1800
822	8321	1789
823	8329	1779
824	8336	1768
825	8343	1757
826	8350	1746
827	8357	1736
828	8366	1725
829	8378	1716
830	8390	1706
831	8402	1696
832	8410	1686
833	8418	1675
834	8426	1665
835	8433	1654
836	8440	1643
837	8448	1633
838	8455	1622
839	8462	1611
840	8469	1601
841	8476	1590
842	8484	1580
843	8491	1569
844	8499	1559
845	8506	1548
846	8513	1537
847	8520	1527
848	8528	1516
849	8535	1506
850	8542	1495
851	8549	1485
852	8559	1475
853	8570	1465
854	8581	1455
855	8595	1445
856	8603	1435
857	8612	1425
858	8619	1414
859	8627	1404
860	8634	1393
861	8641	1383
862	8648	1372
863	8656	1362
864	8663	1352
865	8670	1341
866	8677	1331
867	8684	1320
868	8691	1310
869	8698	1299
870	8709	1289
871	8716	1279
872	8723	1269
873	8730	1258
874	8737	1248
875	8745	1237
876	8752	1227
877	8762	1217
878	8775	1207
879	8787	1198
880	8801	1188
881	8809	1178
882	8818	1168
883	8825	1158
884	8833	1147
885	8840	1137
886	8847	1127
887	8854	1116
888	8861	1106
889	8868	1096
890	8876	1085
891	8883	1075
892	8890	1065
893	8898	1055
894	8905	1044
895	8912	1034
896	8919	1024
897	8926	1013
898	8933	1003
899	8941	993
900	8948	983
901	8959	973
902	8970	963
903	8982	953
904	8996	944
905	9003	934
906	9012	924
907	9019	913
908	9027	903
909	9034	893
910	9041	883
911	9048	873
912	9055	862
913	9062	852
914	9070	842
915	9077	832
916	9085	822
917	9092	812
918	9099	802
919	9106	791
920	9113	781
921	9120	771
922	9128	761
923	9135	751
924	9142	741
925	9149	731
926	9157	721
927	9169	711
928	9180	701
929	9191	691
930	9206	682
931	9214	672
932	9221	662
933	9229	652
934	9236	642
935	9244	632
936	9251	622
937	9258	611
938	9265	601
939	9272	591
940	9280	581
941	9287	571
942	9294	561
943	9301	551
944	9309	541
945	9316	531
946	9323	521
947	9330	511
948	9338	501
949	9346	491
950	9358	482
951	9365	472
952	9375	462
953	9383	452
954	9393	442
